-15.973,-8.42
-7.792,-2.769
-8.479,-1.608
-1.766,-19.376
-13.361,9.537
7.977,-0.362
-10.477,2.595
-6.841,-3.376
-4.304,12.071
-6.57,-1.644
7.864,-4.06
9.057,-22.793
11.512,4.374
10.018,5.775
9.556,-0.541
-3.535,25.959
27.295,10.26
-3.167,6.606
-2.423,-10.614
-12.112,8.266
-0.877,-14.59
4.383,16.107
-10.511,-16.599
8.608,4.536
-16.808,-2.45
-2.517,0.484
16.655,-0.449
3.526,-6.49
-10.898,-0.936
1.504,9.345
-8.42,-10.126
-2.769,3.665
-1.608,-1.54
-19.376,2.631
9.537,2.036
-0.362,3.628
2.595,-2.911
-3.376,17.376
12.071,3.58
-1.644,-0.439
-4.06,7.287
-22.793,-12.609
4.374,-10.185
5.775,-9.261
-0.541,12.537
25.959,-5.465
10.26,-2.862
6.606,9.739
-10.614,-4.233
8.266,-2.329
-14.59,8.428
16.107,-7.695
-16.599,-12.764
4.536,-3.764
-2.45,1.274
0.484,9.03
-0.449,25.749
-6.49,-7.256
-0.936,19.728
9.345,20.046
-10.126,-25.369
3.665,-2.172
-1.54,-14.062
2.631,-0.797
2.036,13.45
3.628,8.528
-2.911,-0.474
17.376,-15.107
3.58,11.217
-0.439,-17.971
7.287,-17.887
-12.609,9.025
-10.185,4.281
-9.261,1.305
12.537,-1.03
-5.465,-6.303
-2.862,11.253
9.739,-0.273
-4.233,-6.289
-2.329,-0.118
8.428,16.937
-7.695,-29.262
-12.764,8.863
-3.764,-9.291
1.274,1.196
9.03,3.025
25.749,16.625
-7.256,9.804
19.728,2.578
20.046,14.964
-25.369,-11.765
-2.172,-2.549
-14.062,-4.57
-0.797,15.681
13.45,-5.122
8.528,2.749
-0.474,4.55
-15.107,-15.885
11.217,6.739
-17.971,-14.489
-17.887,10.594
9.025,-1.271
1.305,7.077
-1.03,-6.493
-6.303,-3.01
11.253,-5.565
-0.273,5.991
-6.289,-1.103
-0.118,-13.948
16.937,-11.392
-29.262,0.816
8.863,2.933
-9.291,-23.982
1.196,-11.631
3.025,-11.192
16.625,-4.318
9.804,3.545
2.578,-5.66
14.964,-12.822
-11.765,5.759
-2.549,-6.308
-4.57,-8.558
15.681,-1.154
-5.122,-1.129
4.55,-15.949
-15.885,-6.84
6.739,12.159
-14.489,-0.02
10.594,-13.146
-1.271,13.776
7.077,1.393
-6.493,21.057
-3.01,-1.561
-5.565,-0.37
5.991,-1.705
-1.103,5.526
-13.948,-1.27
-11.392,14.791
0.816,9.155
