season,season_start_year,franchise_id,team,all_games,all_minutes,all_possessions,all_opp_possessions,all_pts,all_opp_pts,all_off_rating,all_def_rating,all_net_rating,clutch_games,clutch_minutes,clutch_possessions,clutch_opp_possessions,clutch_pts,clutch_opp_pts,clutch_off_rating,clutch_def_rating,clutch_net_rating,non_clutch_games,non_clutch_minutes,non_clutch_possessions,non_clutch_opp_possessions,non_clutch_pts,non_clutch_opp_pts,non_clutch_off_rating,non_clutch_def_rating,non_clutch_net_rating,clutch_minus_non_clutch_net,clutch_minus_all_net,clutch_time_pct,clutch_poss_pct
2020-21,2020,1610612755,PHI,72,17430.0,7272.0,7270.0,8182.0,7780.0,112.514,107.015,5.499,34,624.0,280.0,274.0,315.0,267.0,112.5,97.445,15.055,72,16806.0,6992.0,6996.0,7867.0,7513.0,112.514,107.39,5.124,9.93,9.556,3.58,3.85
2020-21,2020,1610612756,PHX,72,17480.0,7137.0,7139.0,8300.0,7881.0,116.295,110.394,5.902,37,718.0,330.0,315.0,364.0,340.0,110.303,107.937,2.367,72,16762.0,6807.0,6824.0,7936.0,7541.0,116.586,110.507,6.079,-3.712,-3.535,4.108,4.624
2020-21,2020,1610612757,POR,72,17305.0,7137.0,7136.0,8360.0,8231.0,117.136,115.345,1.791,37,638.0,307.0,286.0,392.0,282.0,127.687,98.601,29.086,72,16667.0,6830.0,6850.0,7968.0,7949.0,116.662,116.044,0.618,28.468,27.295,3.687,4.302
2020-21,2020,1610612758,SAC,72,17305.0,7266.0,7257.0,8189.0,8454.0,112.703,116.494,-3.791,42,684.0,329.0,323.0,355.0,371.0,107.903,114.861,-6.958,72,16621.0,6937.0,6934.0,7834.0,8083.0,112.931,116.571,-3.64,-3.318,-3.167,3.953,4.528
2020-21,2020,1610612759,SAS,72,17480.0,7236.0,7250.0,7998.0,8123.0,110.531,112.041,-1.511,37,767.0,340.0,347.0,357.0,378.0,105.0,108.934,-3.934,72,16713.0,6896.0,6903.0,7641.0,7745.0,110.803,112.198,-1.394,-2.539,-2.423,4.388,4.699
2020-21,2020,1610612761,TOR,72,17305.0,7177.0,7182.0,8011.0,8045.0,111.62,112.016,-0.396,38,534.0,250.0,263.0,252.0,298.0,100.8,113.308,-12.508,72,16771.0,6927.0,6919.0,7759.0,7747.0,112.011,111.967,0.044,-12.552,-12.112,3.086,3.483
2020-21,2020,1610612762,UTA,72,17355.0,7193.0,7179.0,8382.0,7716.0,116.53,107.48,9.05,30,408.0,192.0,179.0,227.0,197.0,118.229,110.056,8.173,72,16947.0,7001.0,7000.0,8155.0,7519.0,116.483,107.414,9.069,-0.896,-0.877,2.351,2.669
2020-21,2020,1610612764,WAS,72,17405.0,7585.0,7596.0,8398.0,8530.0,110.719,112.296,-1.577,39,792.0,381.0,390.0,421.0,420.0,110.499,107.692,2.806,72,16613.0,7204.0,7206.0,7977.0,8110.0,110.73,112.545,-1.815,4.621,4.384,4.55,5.023
2021-22,2021,1610612737,ATL,82,19705.0,8099.0,8103.0,9343.0,9215.0,115.36,113.723,1.637,38,598.0,257.0,258.0,284.0,308.0,110.506,119.38,-8.874,82,19107.0,7842.0,7845.0,9059.0,8907.0,115.519,113.537,1.982,-10.856,-10.511,3.035,3.173
2021-22,2021,1610612751,BKN,82,19755.0,8177.0,8187.0,9258.0,9194.0,113.22,112.3,0.92,40,745.0,326.0,328.0,367.0,338.0,112.577,103.049,9.528,82,19010.0,7851.0,7859.0,8891.0,8856.0,113.247,112.686,0.561,8.967,8.608,3.771,3.987
2021-22,2021,1610612738,BOS,82,19905.0,8068.0,8065.0,9164.0,8567.0,113.585,106.224,7.36,35,750.0,340.0,338.0,329.0,359.0,96.765,106.213,-9.448,82,19155.0,7728.0,7727.0,8835.0,8208.0,114.325,106.225,8.1,-17.548,-16.808,3.768,4.214
2021-22,2021,1610612766,CHA,82,19880.0,8322.0,8330.0,9457.0,9421.0,113.639,113.097,0.541,37,748.0,333.0,328.0,365.0,366.0,109.61,111.585,-1.976,82,19132.0,7989.0,8002.0,9092.0,9055.0,113.806,113.159,0.647,-2.623,-2.517,3.763,4.001
2021-22,2021,1610612741,CHI,82,19730.0,8124.0,8114.0,9152.0,9184.0,112.654,113.187,-0.533,41,624.0,295.0,286.0,357.0,300.0,121.017,104.895,16.122,82,19106.0,7829.0,7828.0,8795.0,8884.0,112.339,113.49,-1.151,17.273,16.655,3.163,3.631
2021-22,2021,1610612739,CLE,82,19730.0,7964.0,7956.0,8839.0,8665.0,110.987,108.912,2.075,44,716.0,319.0,316.0,351.0,330.0,110.031,104.43,5.601,82,19014.0,7645.0,7640.0,8488.0,8335.0,111.027,109.097,1.93,3.671,3.526,3.629,4.006
2021-22,2021,1610612742,DAL,82,19755.0,7871.0,7874.0,8858.0,8587.0,112.54,109.055,3.485,38,589.0,241.0,230.0,264.0,269.0,109.544,116.957,-7.413,82,19166.0,7630.0,7644.0,8594.0,8318.0,112.634,108.817,3.817,-11.23,-10.898,2.982,3.062
2021-22,2021,1610612743,DEN,82,19805.0,8123.0,8119.0,9243.0,9054.0,113.788,111.516,2.272,40,726.0,317.0,316.0,339.0,326.0,106.94,103.165,3.776,82,19079.0,7806.0,7803.0,8904.0,8728.0,114.066,111.854,2.212,1.564,1.504,3.666,3.902
2021-22,2021,1610612765,DET,82,19780.0,8141.0,8146.0,8596.0,9229.0,105.589,113.295,-7.706,44,658.0,273.0,302.0,257.0,333.0,94.139,110.265,-16.126,82,19122.0,7868.0,7844.0,8339.0,8896.0,105.986,113.412,-7.425,-8.7,-8.42,3.327,3.353
2021-22,2021,1610612744,GSW,82,19730.0,8121.0,8113.0,9102.0,8648.0,112.08,106.594,5.485,41,672.0,292.0,299.0,297.0,296.0,101.712,98.997,2.716,82,19058.0,7829.0,7814.0,8805.0,8352.0,112.466,106.885,5.581,-2.866,-2.77,3.406,3.596
